the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Ardea alba,830,15116,497_Sibl_9780307957900_art_r1.jpg,56,Great Egret,http://www.audubon.org/node/830,1990,1686,Great Egret
,Falco rusticolus,411,15391,1043_Sibl_9780307957900_art_r1.jpg,100,Gyrfalcon,http://www.audubon.org/node/411,1206,1686,Gyrfalcon
,Lagopus lagopus,917,17,default_illustration.png,1,Willow Ptarmigan,http://www.audubon.org/node/917,339,400,Willow Ptarmigan
,Corvus brachyrhynchos,798,11581,4534_Sibl_9780307957900_art_r1.jpg,2,American Crow,http://www.audubon.org/node/798,2031,1686,American Crow
,Corvus caurinus,799,11581,4534_Sibl_9780307957900_art_r1.jpg,3,Northwestern Crow,http://www.audubon.org/node/799,2031,1686,Northwestern Crow
,Platalea ajaja,834,12696,585_Sibl_9780307957900_art_r1.jpg,4,Roseate Spoonbill,http://www.audubon.org/node/834,1989,1686,Roseate Spoonbill
,Toxostoma rufum,516,14831,008_Sibl_9780307957900_art_r1.jpg,5,Brown Thrasher,http://www.audubon.org/node/516,3175,1686,Brown Thrasher
,Toxostoma longirostre,514,14836,003_Sibl_9780307957900_art_r1.jpg,6,Long-billed Thrasher,http://www.audubon.org/node/514,1430,1686,Long-billed Thrasher
,Larus glaucoides,335,14841,014_Sibl_9780307957900_art_r1.jpg,7,Iceland Gull,http://www.audubon.org/node/335,2131,1686,Iceland Gull
,Sialia sialis,501,14846,038_Sibl_9780307957900_art_r1.jpg,8,Eastern Bluebird,http://www.audubon.org/node/501,1671,1686,Eastern Bluebird
,Anas fulvigula,935,44621,Mottled_Duck.jpg,796,Mottled Duck,http://www.audubon.org/node/935,1200,1030,Mottled Duck
,Sialia mexicana,500,14851,030_Sibl_9780307957900_art_r1.jpg,9,Western Bluebird,http://www.audubon.org/node/500,1701,1686,Western Bluebird
,Larus occidentalis,342,14856,051_Sibl_9780307957900_art_r1.jpg,10,Western Gull,http://www.audubon.org/node/342,2228,1686,Western Gull
,Amazona finschi,746,14871,054_Sibl_9780307957900_art_r1.jpg,11,Lilac-crowned Parrot ,http://www.audubon.org/node/746,1323,1686,Lilac-crowned Parrot 
,Amazona farinosa,747,14876,061_Sibl_9780307957900_art_r1.jpg,12,Mealy Parrot,http://www.audubon.org/node/747,1621,1686,Mealy Parrot
,Amazona viridigenalis,704,14886,052_Sibl_9780307957900_art_r1.jpg,13,Red-crowned Parrot,http://www.audubon.org/node/704,1411,1686,Red-crowned Parrot
,Amazona autumnalis,751,14891,057_Sibl_9780307957900_art_r1.jpg,14,Red-lored Parrot,http://www.audubon.org/node/751,1662,1686,Red-lored Parrot
,Amazona oratrix,758,14901,055_Sibl_9780307957900_art_r1.jpg,15,Yellow-headed Parrot,http://www.audubon.org/node/758,1308,1686,Yellow-headed Parrot
,Amazona auropalliata,760,14906,058_Sibl_9780307957900_art_r1.jpg,16,Yellow-naped Parrot,http://www.audubon.org/node/760,1864,1686,Yellow-naped Parrot
,Setophaga virens,552,14911,082_Sibl_9780307957900_art_r1.jpg,17,Black-throated Green Warbler,http://www.audubon.org/node/552,1637,1686,Black-throated Green Warbler
,Setophaga chrysoparia,533,14916,075_Sibl_9780307957900_art_r1.jpg,18,Golden-cheeked Warbler,http://www.audubon.org/node/533,1656,1686,Golden-cheeked Warbler
,Setophaga pensylvanica,545,14921,090_Sibl_9780307957900_art_r1.jpg,19,Chestnut-sided Warbler,http://www.audubon.org/node/545,2327,1686,Chestnut-sided Warbler
,Setophaga magnolia,541,14926,098_Sibl_9780307957900_art_r1.jpg,20,Magnolia Warbler,http://www.audubon.org/node/541,2244,1686,Magnolia Warbler
,Somateria mollissima,981,14931,115_Sibl_9780307957900_art_r1.jpg,21,Common Eider,http://www.audubon.org/node/981,3703,1686,Common Eider
,Eudocimus albus,835,14941,122_Sibl_9780307957900_art_r1.jpg,22,White Ibis,http://www.audubon.org/node/835,1467,1686,White Ibis
,Dendrocygna autumnalis,966,14946,132_Sibl_9780307957900_art_r1.jpg,23,Black-bellied Whistling-Duck,http://www.audubon.org/node/966,1393,1686,Black-bellied Whistling-Duck
,Dendrocygna bicolor,967,14951,142_Sibl_9780307957900_art_r1.jpg,24,Fulvous Whistling-Duck,http://www.audubon.org/node/967,1370,1686,Fulvous Whistling-Duck
,Gavia stellata,964,14956,162_Sibl_9780307957900_art_r1.jpg,25,Red-throated Loon,http://www.audubon.org/node/964,4870,1686,Red-throated Loon
,Gavia arctica,931,14961,179_Sibl_9780307957900_art_r1.jpg,26,Arctic Loon,http://www.audubon.org/node/931,3615,1686,Arctic Loon
,Gavia immer,942,14966,188_Sibl_9780307957900_art_r1.jpg,27,Common Loon,http://www.audubon.org/node/942,5171,1686,Common Loon
,Gavia adamsii,920,14971,196_Sibl_9780307957900_art_r1.jpg,28,Yellow-billed Loon,http://www.audubon.org/node/920,4227,1686,Yellow-billed Loon
,Podiceps grisegena,991,14976,208_Sibl_9780307957900_art_r1.jpg,29,Red-necked Grebe,http://www.audubon.org/node/991,3640,1686,Red-necked Grebe
,Podiceps nigricollis,921,14981,220_Sibl_9780307957900_art_r1.jpg,30,Eared Grebe,http://www.audubon.org/node/921,3098,1686,Eared Grebe
,Podiceps auritus,990,14986,224_Sibl_9780307957900_art_r1.jpg,31,Horned Grebe,http://www.audubon.org/node/990,3621,1686,Horned Grebe
,Tachybaptus dominicus,923,14991,240_Sibl_9780307957900_art_r1.jpg,32,Least Grebe,http://www.audubon.org/node/923,3036,1686,Least Grebe
,Podilymbus podiceps,922,14996,233_Sibl_9780307957900_art_r1.jpg,33,Pied-billed Grebe,http://www.audubon.org/node/922,3494,1686,Pied-billed Grebe
,Aechmophorus clarkii,975,15001,253_Sibl_9780307957900_art_r1.jpg,34,Clarks Grebe,http://www.audubon.org/node/975,2622,1686,Clarks Grebe
,Aechmophorus occidentalis,986,15006,246_Sibl_9780307957900_art_r1.jpg,35,Western Grebe,http://www.audubon.org/node/986,2640,1686,Western Grebe
,Phaethon rubricauda,314,15011,259_Sibl_9780307957900_art_r1.jpg,36,Red-tailed Tropicbird,http://www.audubon.org/node/314,5490,1686,Red-tailed Tropicbird
,Pelecanus erythrorhynchos,924,15016,267_Sibl_9780307957900_art_r1.jpg,37,American White Pelican,http://www.audubon.org/node/924,1304,1686,American White Pelican
,Pelecanus occidentalis,925,15021,281_Sibl_9780307957900_art_r1.jpg,38,Brown Pelican,http://www.audubon.org/node/925,3210,1686,Brown Pelican
,Fregata magnificens,321,15026,300_Sibl_9780307957900_art_r1.jpg,39,Magnificent Frigatebird,http://www.audubon.org/node/321,2250,1686,Magnificent Frigatebird
,Phaethon aethereus,312,15031,312_Sibl_9780307957900_art_r1.jpg,40,Red-billed Tropicbird,http://www.audubon.org/node/312,5905,1686,Red-billed Tropicbird
,Phaethon lepturus,313,15036,313_Sibl_9780307957900_art_r1.jpg,41,White-tailed Tropicbird,http://www.audubon.org/node/313,5323,1686,White-tailed Tropicbird
,Phalacrocorax carbo,442,15041,333_Sibl_9780307957900_art_r1.jpg,42,Great Cormorant,http://www.audubon.org/node/442,1320,1686,Great Cormorant
,Phalacrocorax auritus,421,15046,345_Sibl_9780307957900_art_r1.jpg,43,Double-crested Cormorant,http://www.audubon.org/node/421,1436,1686,Double-crested Cormorant
,Phalacrocorax brasilianus,432,15051,358_Sibl_9780307957900_art_r1.jpg,44,Neotropic Cormorant,http://www.audubon.org/node/432,1342,1686,Neotropic Cormorant
,Phalacrocorax pelagicus,443,15056,378_Sibl_9780307957900_art_r1.jpg,45,Pelagic Cormorant,http://www.audubon.org/node/443,1049,1686,Pelagic Cormorant
,Phalacrocorax urile,445,15061,373_Sibl_9780307957900_art_r1.jpg,46,Red-faced Cormorant,http://www.audubon.org/node/445,943,1686,Red-faced Cormorant
,Anhinga anhinga,446,15066,399_Sibl_9780307957900_art_r1.jpg,47,Anhinga,http://www.audubon.org/node/446,1309,1686,Anhinga
,Phalacrocorax penicillatus,444,15071,386_Sibl_9780307957900_art_r1.jpg,48,Brandts Cormorant,http://www.audubon.org/node/444,1227,1686,Brandts Cormorant
,Morus bassanus,315,15076,412_Sibl_9780307957900_art_r1.jpg,49,Northern Gannet,http://www.audubon.org/node/315,1753,1686,Northern Gannet
,Sula leucogaster,318,15081,447_Sibl_9780307957900_art_r1.jpg,50,Brown Booby,http://www.audubon.org/node/318,1844,1686,Brown Booby
,Sula dactylatra,317,15086,444_Sibl_9780307957900_art_r1.jpg,51,Masked Booby,http://www.audubon.org/node/317,2616,1686,Masked Booby
,Sula nebouxii,319,15091,464_Sibl_9780307957900_art_r1.jpg,52,Blue-footed Booby,http://www.audubon.org/node/319,1878,1686,Blue-footed Booby
,Sula sula,320,15096,468_Sibl_9780307957900_art_r1.jpg,53,Red-footed Booby,http://www.audubon.org/node/320,2108,1686,Red-footed Booby
,Egretta garzetta,845,15101,475_Sibl_9780307957900_art_r1.jpg,54,Little Egret,http://www.audubon.org/node/845,1703,1686,Little Egret
